"id","state_code","total_2011","total_2012","total_2013","population_2011","population_2012","population_2013","rate_2011","rate_2012","rate_2013"
"10001",10,14,4,3,32592,32801,33000,0.43,0.12,0.091
"10002",10,0,1,0,0,4217,0,0,0.24,0
"10004",10,12,3,6,34796,34909,35000,0.34,0.086,0.17
"10005",10,204,156,82,610384,619284,630000,0.33,0.25,0.13
"10007",10,0,112,145,0,344986,350000,0,0.32,0.42
"10008",10,1,3,4,35151,35598,36000,0.028,0.084,0.11
"10009",10,0,2,10,0,10380,10000,0,0.19,0.96
"1001",1,58,33,19,823056,835348,850000,0.07,0.04,0.022
"10012",10,253,141,60,147074,148853,150000,1.7,0.95,0.4
"10013",10,0,4,1,0,26398,27000,0,0.15,0.038
"10014",10,30,22,20,34538,34828,35000,0.87,0.63,0.57
"10015",10,1,2,2,12712,12731,13000,0.079,0.16,0.16
"10016",10,11,8,2,19115,19264,19000,0.58,0.42,0.1
"10018",10,17,37,15,11729,11858,12000,1.4,3.1,1.3
"10019",10,2,4,0,5456,5540,0,0.37,0.72,0
"1002",1,1,2,5,46970,47634,48000,0.021,0.042,0.1
"10020",10,2,3,0,12207,12226,0,0.16,0.25,0
"10022",10,12,1,2,25789,26020,26000,0.47,0.038,0.076
"10023",10,38,33,22,50576,50898,51000,0.75,0.65,0.43
"10024",10,9,4,1,13381,13582,14000,0.67,0.29,0.073
"10026",10,13,5,35,20202,20288,20000,0.64,0.25,1.7
"10028",10,4,6,5,12392,12545,13000,0.32,0.48,0.39
"1003",1,2,0,0,55510,56096,57000,0.036,0,0
"10032",10,60,20,14,46842,47374,48000,1.3,0.42,0.29
"10033",10,0,1,0,0,6878,0,0,0.15,0
"10034",10,31,16,22,26980,27014,27000,1.1,0.59,0.81
"10035",10,18,8,5,10889,10800,11000,1.7,0.74,0.47
"10036",10,0,5,6,0,23534,24000,0,0.21,0.25
"10037",10,4,6,1,8864,8960,9000,0.45,0.67,0.11
"10038",10,19,7,5,21749,21830,22000,0.87,0.32,0.23
"10039",10,9,4,8,27024,27236,27000,0.33,0.15,0.29
"1004",1,0,1,0,15462,15659,16000,0,0.064,0
"1005",1,4,3,7,104196,106428,110000,0.038,0.028,0.065
"1006",1,5,1,1,42877,43340,44000,0.12,0.023,0.023
"1007",1,0,1,2,50411,50990,52000,0,0.02,0.039
"1008",1,0,0,0,8710,8830,9000,0,0,0
"1009",1,1,1,0,20348,20658,21000,0.049,0.048,0
"1010",1,0,0,1,19373,19618,20000,0,0,0.05
"1011",1,0,2,4,37596,38492,39000,0,0.052,0.1
"11001",11,9,14,6,86264,86784,87000,0.1,0.16,0.069
"11002",11,28,25,22,111002,111422,110000,0.25,0.22,0.2
"11003",11,29,28,19,165682,167601,170000,0.18,0.17,0.11
"11004",11,4,8,7,66096,66646,67000,0.061,0.12,0.1
"11005",11,7,9,12,88196,89254,90000,0.079,0.1,0.13
"11006",11,0,0,0,5739,5770,5800,0,0,0
"11007",11,90,99,65,482644,487690,490000,0.19,0.2,0.13
"11008",11,7,11,4,37937,38135,38000,0.18,0.29,0.1
"11009",11,7,5,8,79792,80458,81000,0.088,0.062,0.099
"11010",11,1,2,1,11876,11910,12000,0.084,0.17,0.084
"11011",11,12,19,8,89959,90342,91000,0.13,0.21,0.088
"11012",11,2,4,4,28148,28437,29000,0.071,0.14,0.14
"11013",11,2,1,2,23836,23977,24000,0.084,0.042,0.083
"11014",11,12,26,16,151561,152599,150000,0.079,0.17,0.1
"11015",11,7,22,10,176943,178758,180000,0.04,0.12,0.055
"11016",11,1,6,0,20552,20668,21000,0.049,0.29,0
"11017",11,47,64,51,546914,553136,560000,0.086,0.12,0.091
"11018",11,5,1,0,37804,38223,39000,0.13,0.026,0
"11019",11,8,7,8,52220,52632,53000,0.15,0.13,0.15
"11020",11,116,179,167,1477980,1492750,1500000,0.078,0.12,0.11
"11021",11,9,3,2,50200,50390,51000,0.18,0.06,0.04
"11022",11,2,1,0,23170,23308,23000,0.086,0.043,0
"11023",11,22,20,38,153196,154091,160000,0.14,0.13,0.25
"11024",11,0,0,2,11558,11688,12000,0,0,0.17
"11025",11,4,11,10,72000,73290,74000,0.056,0.15,0.13
"11026",11,5,5,8,58191,58681,59000,0.086,0.085,0.14
"11027",11,26,45,25,268223,270716,270000,0.097,0.17,0.092
"11028",11,17,16,18,98506,98706,99000,0.17,0.16,0.18
"11029",11,2,1,1,37736,37908,38000,0.053,0.026,0.026
"11030",11,5,11,14,109468,110202,110000,0.046,0.1,0.13
"11031",11,14,14,16,116220,117010,120000,0.12,0.12,0.14
"11032",11,9,3,8,75606,76882,78000,0.12,0.039,0.1
"11033",11,17,11,16,119120,120334,120000,0.14,0.091,0.13
"11034",11,0,1,0,5246,5284,5300,0,0.19,0
"11035",11,4,12,16,81516,82270,83000,0.049,0.15,0.19
"11036",11,1,3,0,6770,6785,6800,0.15,0.44,0
"11037",11,23,22,16,179221,181574,180000,0.13,0.12,0.087
"11038",11,4,4,1,11991,12102,12000,0.33,0.33,0.082
"11039",11,7,3,6,36370,36567,37000,0.19,0.082,0.16
"11040",11,1,0,0,18646,18800,19000,0.054,0,0
"11041",11,10,12,7,61005,61617,62000,0.16,0.19,0.11
"11042",11,9,11,10,144543,145599,150000,0.062,0.076,0.068
"11043",11,1,3,1,20022,19954,20000,0.05,0.15,0.05
"11044",11,5,13,8,57361,57900,58000,0.087,0.22,0.14
"11045",11,4,2,0,11745,11774,12000,0.34,0.17,0
"11046",11,9,14,8,72732,73346,74000,0.12,0.19,0.11
"12001",12,1008,1170,883,817933,826366,830000,1.2,1.4,1.1
"12002",12,3,3,0,25593,25694,26000,0.12,0.12,0
"12003",12,3,19,16,38839,38814,39000,0.077,0.49,0.41
"12004",12,4,6,4,19576,19746,20000,0.2,0.3,0.2
"12005",12,0,0,0,6894,6980,7100,0,0,0
"12006",12,6,3,12,12540,12481,12000,0.48,0.24,0.96
"12007",12,35,21,15,32755,32800,33000,1.1,0.64,0.46
"12008",12,0,0,0,8638,8692,8700,0,0,0
"12009",12,0,1,0,5872,5915,6000,0,0.17,0
"12010",12,12,5,1,27028,27173,27000,0.44,0.18,0.037
"12011",12,62,100,60,62538,62706,63000,0.99,1.6,0.95
"12012",12,49,51,17,64454,64950,65000,0.76,0.79,0.26
"12013",12,2,3,15,14789,14862,15000,0.14,0.2,1
"12014",12,3,3,0,15250,15259,15000,0.2,0.2,0
"12015",12,1,0,0,12913,12940,13000,0.077,0,0
"12016",12,0,0,2,13158,13044,13000,0,0,0.15
"12017",12,0,1,3,15026,15066,15000,0,0.066,0.2
"12018",12,3,0,1,14150,14303,14000,0.21,0,0.069
"12019",12,0,0,1,14726,14762,15000,0,0,0.068
"12020",12,0,2,6,19201,19260,19000,0,0.1,0.31
"12021",12,47,108,106,75242,75607,76000,0.62,1.4,1.4
"12022",12,82,40,67,42634,42443,42000,1.9,0.94,1.6
"12023",12,15,13,18,26615,26754,27000,0.56,0.49,0.67
"12024",12,0,0,2,7111,7098,7100,0,0,0.28
"12025",12,0,2,1,15318,15291,15000,0,0.13,0.065
"12026",12,0,4,1,9296,9281,9300,0,0.43,0.11
"12027",12,8,8,1,21752,21764,22000,0.37,0.37,0.046
"12028",12,42,29,46,125142,126474,130000,0.34,0.23,0.36
"12029",12,152,111,164,252076,255642,260000,0.6,0.43,0.63
"12030",12,1,7,5,20694,20793,21000,0.048,0.34,0.24
"12031",12,1,2,2,6374,6327,6300,0.16,0.32,0.32
"12032",12,5,1,16,37196,37128,37000,0.13,0.027,0.43
"12033",12,2,1,3,14696,14746,15000,0.14,0.068,0.2
"12034",12,1,2,6,38252,38416,39000,0.026,0.052,0.16
"12035",12,123,93,107,145067,146461,150000,0.85,0.63,0.72
"12036",12,2,6,4,10984,11014,11000,0.18,0.54,0.36
"12037",12,0,80,1,6788,6829,6900,0,12,0.15
"12038",12,114,80,65,123522,125299,130000,0.92,0.64,0.51
"12039",12,5,1,11,25002,25146,25000,0.2,0.04,0.44
"12040",12,3,4,13,25366,25473,26000,0.12,0.16,0.51
"12041",12,8,7,4,30160,30278,30000,0.27,0.23,0.13
"12042",12,8,1,0,18413,18630,19000,0.43,0.054,0
"12043",12,0,1,1,19212,19156,19000,0,0.052,0.052
"12044",12,0,0,1,11656,11702,12000,0,0,0.085
"12045",12,1,2,2,25418,25607,26000,0.039,0.078,0.078
"12046",12,59,71,49,63171,63701,64000,0.93,1.1,0.76
"12047",12,1,4,1,7078,7050,7000,0.14,0.57,0.14
"12048",12,12,1,15,45639,45544,46000,0.26,0.022,0.33
"12049",12,2,9,6,11780,11814,12000,0.17,0.76,0.51
"12050",12,13,22,28,37674,37726,38000,0.35,0.58,0.74
"12051",12,5,0,2,35257,35238,35000,0.14,0,0.057
"12052",12,8,2,7,42762,42569,42000,0.19,0.047,0.16
"12053",12,7,5,17,49643,49866,50000,0.14,0.1,0.34
"12054",12,2,3,31,28474,28403,28000,0.07,0.11,1.1
"12055",12,48,45,26,106522,107074,110000,0.45,0.42,0.24
"12056",12,12,12,4,44741,44776,45000,0.27,0.27,0.089
"12057",12,51,60,42,63654,63983,64000,0.8,0.94,0.65
"12058",12,19,52,45,54784,54887,55000,0.35,0.95,0.82
"12059",12,1,2,4,31134,31244,31000,0.032,0.064,0.13
"12060",12,1,2,1,13341,13343,13000,0.075,0.15,0.075
"12061",12,13,0,13,41180,41464,42000,0.32,0,0.31
"12062",12,5,11,4,22063,22332,23000,0.23,0.49,0.18
"12063",12,0,0,0,10258,10328,10000,0,0,0
"12064",12,4,5,1,11656,11623,12000,0.34,0.43,0.086
"12065",12,3,4,2,7272,7310,7300,0.41,0.55,0.27
"12066",12,71,47,37,85961,87706,89000,0.83,0.54,0.41
"12067",12,1,6,3,22252,22300,22000,0.045,0.27,0.13
"12068",12,17,0,32,26121,26086,26000,0.65,0,1.2
"12069",12,1,7,1,12341,12211,12000,0.081,0.57,0.082
"12070",12,0,0,1,7174,7167,7200,0,0,0.14
"12071",12,6,3,5,28870,29107,29000,0.21,0.1,0.17
"12072",12,11,4,2,10727,10755,11000,1,0.37,0.19
"12073",12,3,1,2,18935,18676,18000,0.16,0.054,0.11
"12074",12,1,1,0,23328,23530,24000,0.043,0.042,0
"12075",12,6,5,5,48111,48736,49000,0.12,0.1,0.1
"12076",12,5,3,8,33656,33880,34000,0.15,0.089,0.23
"12077",12,8,7,4,13264,13351,13000,0.6,0.52,0.3
"12078",12,0,6,2,19284,19423,20000,0,0.31,0.1
"12079",12,0,0,0,15913,15903,16000,0,0,0
"12080",12,1,3,4,7412,7474,7500,0.13,0.4,0.53
"12081",12,0,0,0,10632,10632,11000,0,0,0
"13001",13,2,0,1,20530,0,21000,0.097,0,0.048
"13002",13,0,3,1,0,42209,43000,0,0.071,0.023
"13003",13,5,1,6,55732,56509,57000,0.09,0.018,0.11
"13004",13,1,0,1,9072,0,9100,0.11,0,0.11
"13006",13,0,2,0,0,19420,0,0,0.1,0
"13007",13,0,1,1,0,11464,12000,0,0.087,0.087
"13008",13,1,2,1,43221,43606,44000,0.023,0.046,0.023
"13009",13,0,1,2,0,18182,18000,0,0.055,0.11
"13010",13,1,0,0,27363,0,0,0.037,0,0
"13012",13,3,0,1,27736,0,28000,0.11,0,0.035
"13013",13,2,2,2,31799,32676,33000,0.063,0.061,0.06
"13014",13,0,1,1,0,17171,17000,0,0.058,0.058
"13015",13,2,0,0,18825,0,0,0.11,0,0
"13016",13,2,1,5,56235,57254,58000,0.036,0.017,0.086
"13017",13,1,0,0,12452,0,0,0.08,0,0
"13018",13,0,0,1,0,0,23000,0,0,0.044
"13019",13,0,0,1,0,0,18000,0,0,0.054
"13021",13,0,1,0,0,13670,0,0,0.073,0
"13022",13,0,1,0,0,14594,0,0,0.069,0
"13023",13,0,1,1,0,35348,36000,0,0.028,0.028
"13024",13,2,1,1,17549,17706,18000,0.11,0.056,0.055
"13025",13,1,0,0,22591,0,0,0.044,0,0
"13027",13,2,1,0,23701,23692,0,0.084,0.042,0
"13028",13,6,3,5,124313,124990,130000,0.048,0.024,0.04
"13029",13,3,1,3,45372,45739,46000,0.066,0.022,0.065
"13030",13,5,3,3,89578,90975,92000,0.056,0.033,0.032
"13031",13,1,1,2,12963,12989,13000,0.077,0.077,0.15
"13034",13,1,0,0,9905,0,0,0.1,0,0
"13035",13,1,1,0,11901,12194,0,0.084,0.082,0
"13036",13,0,0,2,0,0,9600,0,0,0.21
"13037",13,0,3,1,0,22066,22000,0,0.14,0.045
"13039",13,0,1,0,0,14479,0,0,0.069,0
"13041",13,2,1,0,43910,44484,0,0.046,0.022,0
"13042",13,0,0,3,0,0,11000,0,0,0.26
"13043",13,1,0,0,6707,0,0,0.15,0,0
"13044",13,0,1,0,0,15818,0,0,0.063,0
"13045",13,3,0,0,9288,0,0,0.32,0,0
"13046",13,1,0,1,39343,0,39000,0.025,0,0.026
"13048",13,7,8,14,269277,268367,270000,0.026,0.03,0.052
"13049",13,0,1,1,0,18394,18000,0,0.054,0.054
"13050",13,1,1,0,22881,23066,0,0.044,0.043,0
"13051",13,1,1,1,139179,148896,160000,0.0072,0.0067,0.0063
"13052",13,1,1,1,33070,33734,34000,0.03,0.03,0.029
"13053",13,4,1,4,18169,18046,18000,0.22,0.055,0.22
"13054",13,3,0,2,33738,0,35000,0.089,0,0.058
"13055",13,0,0,1,0,0,17000,0,0,0.059
"13056",13,0,1,0,0,34887,0,0,0.029,0
"13057",13,1,2,1,15241,15394,15000,0.066,0.13,0.065
"13059",13,2,0,1,35772,0,36000,0.056,0,0.028
"13060",13,1,4,1,17444,17609,18000,0.057,0.23,0.057
"13061",13,1,2,3,52219,52390,53000,0.019,0.038,0.057
"13062",13,1,1,1,29494,29516,30000,0.034,0.034,0.034
"13063",13,1,4,5,83003,84555,86000,0.012,0.047,0.058
"13064",13,0,0,1,0,0,10000,0,0,0.097
"13065",13,0,0,1,0,0,12000,0,0,0.085
"13067",13,3,0,2,49313,0,51000,0.061,0,0.04
"13068",13,0,1,0,0,14155,0,0,0.071,0
"13069",13,8,0,5,108223,0,120000,0.074,0,0.042
"13070",13,0,0,3,0,0,18000,0,0,0.17
"13072",13,1,0,0,10487,0,0,0.095,0,0
"13073",13,4,0,2,36873,0,37000,0.11,0,0.054
"13074",13,1,1,0,27190,27480,0,0.037,0.036,0
"13075",13,1,1,0,13610,13651,0,0.073,0.073,0
"13076",13,11,8,14,106389,107762,110000,0.1,0.074,0.13
"13077",13,1,10,9,154888,159776,160000,0.0065,0.063,0.056
"13079",13,1,0,0,7374,0,0,0.14,0,0
"13080",13,1,0,1,23748,0,24000,0.042,0,0.042
"13081",13,4,0,2,33933,0,35000,0.12,0,0.057
"13082",13,0,1,1,0,18559,19000,0,0.054,0.053
"13084",13,2,0,1,39499,0,40000,0.051,0,0.025
"14001",14,0,0,0,22065,0,0,0,0,0
"14002",14,0,0,0,23710,0,0,0,0,0
"14003",14,0,0,0,22031,0,0,0,0,0
"14004",14,0,0,0,5725,0,0,0,0,0
"14005",14,0,0,0,15040,0,0,0,0,0
"14006",14,0,0,0,58734,0,0,0,0,0
"14007",14,0,0,0,9085,0,0,0,0,0
"14008",14,0,0,0,75729,0,0,0,0,0
"14009",14,0,0,0,18312,0,0,0,0,0
"14010",14,0,0,0,6792,0,0,0,0,0
"14011",14,0,0,0,5558,0,0,0,0,0
"14012",14,0,0,0,4163,0,0,0,0,0
"14013",14,0,0,0,59721,0,0,0,0,0
"14014",14,0,0,0,8451,0,0,0,0,0
"14015",14,0,0,0,59282,0,0,0,0,0
"14016",14,0,0,0,39417,0,0,0,0,0
"14017",14,0,0,0,12904,0,0,0,0,0
"14018",14,0,0,0,65956,0,0,0,0,0
"14019",14,0,0,0,7313,0,0,0,0,0
"14020",14,0,0,0,10336,0,0,0,0,0
"14021",14,0,0,0,22322,0,0,0,0,0
"14022",14,0,0,0,41612,0,0,0,0,0
"14023",14,9,7,0,103065,104042,0,0.087,0.067,0
"14024",14,0,0,0,26708,0,0,0,0,0
"14025",14,0,0,0,18728,0,0,0,0,0
"14026",14,0,0,0,6168,0,0,0,0,0
"14027",14,0,0,0,17678,0,0,0,0,0
"14028",14,0,0,0,2227,0,0,0,0,0
"14029",14,0,0,0,18357,0,0,0,0,0
"14030",14,0,0,0,50605,0,0,0,0,0
"14031",14,0,0,0,3884,0,0,0,0,0
"14032",14,0,0,0,6026,0,0,0,0,0
"14033",14,0,0,0,21878,0,0,0,0,0
"14034",14,0,0,0,2152,0,0,0,0,0
"14035",14,0,0,0,52964,0,0,0,0,0
"14036",14,0,0,0,19074,0,0,0,0,0
"14037",14,0,0,0,24629,0,0,0,0,0
"14038",14,0,0,0,4401,0,0,0,0,0
"14039",14,188,199,146,1506426,1499340,1500000,0.12,0.13,0.097
"14040",14,0,0,0,10870,0,0,0,0,0
"14041",14,0,0,0,6341,0,0,0,0,0
"14042",14,0,0,0,9072,0,0,0,0,0
"14043",14,0,0,0,24421,0,0,0,0,0
"14044",14,0,0,0,46198,0,0,0,0,0
"14045",14,0,0,0,19419,0,0,0,0,0
"14046",14,0,0,0,33032,0,0,0,0,0
"14047",14,0,0,0,23498,0,0,0,0,0
"14048",14,0,0,0,19054,0,0,0,0,0
"14049",14,0,0,0,9875,0,0,0,0,0
"14050",14,0,0,0,43508,0,0,0,0,0
"14051",14,0,0,0,13653,0,0,0,0,0
"14052",14,0,0,0,5620,0,0,0,0,0
"14053",14,24,20,12,159060,161204,160000,0.15,0.12,0.074
"14054",14,0,0,0,5568,0,0,0,0,0
"14055",14,0,0,0,22098,0,0,0,0,0
"14056",14,0,0,0,2515,0,0,0,0,0
"14057",14,0,0,0,3834,0,0,0,0,0
"14058",14,0,0,0,14628,0,0,0,0,0
"14059",14,0,0,0,13744,0,0,0,0,0
"14060",14,0,0,0,6096,0,0,0,0,0
"14061",14,0,0,0,18633,0,0,0,0,0
"14062",14,0,0,0,3680,0,0,0,0,0
"14063",14,12,12,24,94996,95718,96000,0.13,0.13,0.25
"14064",14,0,0,0,30804,0,0,0,0,0
"14065",14,0,0,0,12346,0,0,0,0,0
"14066",14,0,0,0,49838,0,0,0,0,0
"14067",14,56,53,30,268046,273372,280000,0.21,0.19,0.11
"14068",14,0,0,0,11862,0,0,0,0,0
"14069",14,0,0,0,8850,0,0,0,0,0
"14070",14,37,39,49,146040,149574,150000,0.25,0.26,0.32
"14071",14,0,0,0,3219,0,0,0,0,0
"14072",14,0,0,0,6835,0,0,0,0,0
"14073",14,0,0,0,67868,0,0,0,0,0
"14074",14,0,0,0,16310,0,0,0,0,0
"14075",14,0,0,0,3848,0,0,0,0,0
"14076",14,0,0,0,3483,0,0,0,0,0
"14077",14,0,0,0,27088,0,0,0,0,0
"14078",14,0,0,0,32568,0,0,0,0,0
"14079",14,0,0,0,14512,0,0,0,0,0
"14080",14,0,0,0,5830,0,0,0,0,0
"14081",14,0,0,0,3770,0,0,0,0,0
"14082",14,0,0,0,35320,0,0,0,0,0
"14083",14,0,0,0,72826,0,0,0,0,0
"14093",14,9,10,15,140062,141618,140000,0.064,0.071,0.1
"14097",14,55,65,60,467219,492327,510000,0.12,0.13,0.12
"14098",14,112,114,97,626078,633331,640000,0.18,0.18,0.15
"14101",14,59,78,63,500619,510251,520000,0.12,0.15,0.12
"14120",14,250,202,210,1283618,1300046,1300000,0.19,0.16,0.16
"14123",14,0,0,7,0,0,18000,0,0,0.38
"15001",15,2,9,2,63643,64424,65000,0.031,0.14,0.031
"15002",15,11,12,19,156052,164926,170000,0.07,0.073,0.11
"15003",15,1,2,4,47156,47906,49000,0.021,0.042,0.082
"15004",15,0,2,0,15452,15612,16000,0,0.13,0
"15005",15,10,13,10,157108,160499,160000,0.064,0.081,0.061
"15006",15,0,0,0,11709,12020,12000,0,0,0
"15007",15,2,3,4,24163,24586,25000,0.083,0.12,0.16
"15008",15,1,0,0,27041,27048,27000,0.037,0,0
"15009",15,7,13,7,50056,50430,51000,0.14,0.26,0.14
"15010",15,4,4,4,28874,29270,30000,0.14,0.14,0.14
"15011",15,7,18,3,61357,63428,65000,0.11,0.28,0.046
"15012",15,5,2,2,10934,11156,11000,0.46,0.18,0.18
"15013",15,22,40,53,512332,518766,530000,0.043,0.077,0.1
"15014",15,1,7,5,100500,103072,110000,0.01,0.068,0.047
"15015",15,1,3,0,29414,30028,31000,0.034,0.1,0
"15016",15,2,0,1,27196,27776,28000,0.074,0,0.035
"15017",15,1,1,1,9812,10200,11000,0.1,0.098,0.095
"15018",15,2,7,2,50478,51772,53000,0.04,0.14,0.038
"15019",15,3,3,3,35975,36587,37000,0.083,0.082,0.081
"15020",15,15,27,28,287061,288886,290000,0.052,0.093,0.096
"15021",15,3,9,0,38172,38816,39000,0.079,0.23,0
"15022",15,4,5,2,12556,12640,13000,0.32,0.4,0.16
"15023",15,11,9,11,40198,40423,41000,0.27,0.22,0.27
"15024",15,8,14,19,152142,156958,160000,0.053,0.089,0.12
"15025",15,55,82,58,333339,342220,350000,0.16,0.24,0.17
"15026",15,0,1,0,29788,30667,31000,0,0.033,0
"15027",15,0,2,0,10804,11290,12000,0,0.18,0
"15028",15,2,0,2,27902,28505,29000,0.072,0,0.069
"15029",15,8,17,23,181737,183572,190000,0.044,0.093,0.12
"15030",15,1,4,1,24294,24820,25000,0.041,0.16,0.04
"15031",15,45,76,96,655120,670029,680000,0.069,0.11,0.14
"15032",15,1,7,2,35194,35764,36000,0.028,0.2,0.055
"15033",15,325,383,312,1710001,1721195,1700000,0.19,0.22,0.18
"15034",15,0,0,0,9912,10098,10000,0,0,0
"15035",15,4,12,22,113922,120263,130000,0.035,0.1,0.17
"15036",15,2,0,1,41828,42444,43000,0.048,0,0.023
"15037",15,20,26,24,254990,259148,260000,0.078,0.1,0.091
"15038",15,3,0,1,10968,11207,11000,0.27,0,0.087
"15039",15,51,49,38,492192,500428,510000,0.1,0.098,0.075
"15040",15,3,2,3,35362,35952,37000,0.085,0.056,0.082
"15041",15,1,0,0,6864,6915,7000,0.15,0,0
"15042",15,4,6,14,149459,152220,150000,0.027,0.039,0.09
"15043",15,1,4,1,29436,30494,31000,0.034,0.13,0.032
"15044",15,1,1,2,27251,27459,28000,0.037,0.036,0.072
"15045",15,3,17,17,89341,91371,93000,0.034,0.19,0.18
"15046",15,3,1,2,19582,20224,21000,0.15,0.049,0.096
"15047",15,1,3,2,73135,74560,76000,0.014,0.04,0.026
"15048",15,2,1,1,64495,65567,67000,0.031,0.015,0.015
"15049",15,0,0,2,13670,13958,14000,0,0,0.14
"15050",15,3,4,5,24826,25268,26000,0.12,0.16,0.19
"15051",15,3,15,13,146285,150819,150000,0.021,0.099,0.084
"15052",15,2,5,2,27010,27438,28000,0.074,0.18,0.072
"15053",15,5,3,7,55066,57053,59000,0.091,0.053,0.12
"15054",15,6,16,13,224022,226854,230000,0.027,0.071,0.057
"15055",15,0,0,2,12472,12748,13000,0,0,0.15
"15056",15,1,1,0,29720,30088,30000,0.034,0.033,0
"15057",15,113,190,121,866126,874128,880000,0.13,0.22,0.14
"15058",15,137,171,169,1145258,1151636,1200000,0.12,0.15,0.15
